System,ligand,TF,TF std,literature,pmx,pmx std,schroedinger,schroedinger std,AMBER TI,AMBER TI std,,RMSE,MUE
Galectin,l2 -> l7,-0.8364452303,0.3624273241,0.14579,-0.56643,0.09321,,,,,,0.9647860476,0.9822352303
Galectin,l3 -> l2,-0.2417712108,0.2786534492,0,0.2868,0.11711,,,,,,0.05845331838,0.2417712108
Galectin,l4 -> l3,-0.6070196944,0.09058816908,-0.47322,0.00956,0.0478,,,,,,0.01790235822,0.1337996944
Galectin,l4 -> l8,-1.377946446,0.5904748673,-0.7648,-0.53297,0.239,,,,,,0.3759485647,0.6131464464
Galectin,l5 -> l2,-0.3647543713,0.1219363033,-0.93927,-0.71461,0.06214,,,,,,0.3300682076,0.5745156287
Galectin,l6 -> l1,-1.90897939,0.6317857212,-2.65529,-1.80684,0.18642,,,,,,0.5569795269,0.7463106102
Galectin,l7 -> l1,-1.30549384,0.1079467598,-1.13286,-0.20076,0.08604,,,,,,0.02980244258,0.1726338396
CDK2,20,0.2608531083,0.1509051899,0.54,0.37,,0.54,0.43,,,,0.07792298715,0.2791468917
CDK2,21,-0.5854696284,0.7596123917,-0.35,0.17,,0.31,0.47,,,,0.0554459459,0.2354696284
CDK2,22,-0.2917722379,0.5518976409,-0.32,-0.45,,0.83,0.57,,,,0.0007968065508,0.02822776206
CDK2,26,0.2465280029,0.47141458,0.25,-0.15,,0.64,0.48,,,,0.00001205476357,0.003471997058
CDK2,28,1.317970855,0.5042718506,2.93,1.78,,2.14,0.83,,,,2.598637966,1.612029145
CDK2,29,-0.2203520364,0.5592000401,1.7,0.24,,0.96,0.82,,,,3.687751944,1.920352036
CDK2,30,0.303709304,0.678248227,1.63,1.29,,0.66,0.94,,,,1.75904701,1.326290696
CDK2,31,0.84996542,0.1872298702,1.36,0.60,,0.86,0.83,,,,0.2601352728,0.51003458
CDK2,1h1q,0,0.09499827524,0,0.00,,0,0,,,,0,0
CDK2,1h1s,0.5993491527,0.5951873105,3.07,0.99,,1.62,0.84,,,,6.104115609,2.470650847
CDK2,1oi9,1.002021498,0.3280191735,1.56,0.54,,0.5,0.61,,,,0.3113400091,0.5579785024
CDK2,1oiu,1.270118822,0.2619421994,0.9,2.88,,2.65,0.43,,,,0.1369879424,0.370118822
CDK2,1oiy,0.5019025887,0.4147047119,1.61,0.48,,0.6,0.48,,,,1.227879873,1.108097411
2RA0,a -> bt,-0.9571367687,0.241471498,-1.45,,,,,-0.425,0.4982971001,,0.2429141647,0.4928632313
2RA0,c -> f,0.3951507714,0.025082038,-0.59,,,,,-1.01,0.1298717316,,0.9705220424,0.9851507714
2RA0,e -> f,-0.8738823385,0.530531112,-2.32,,,,,-2.055,0.1571623365,,2.091256291,1.446117661
2RA0,c -> d,4.025750236,0.6622380198,3.36,,,,,3.32,0.4354308211,,0.4432233773,0.6657502364
2RA0,c -> g,0.4196870858,0.100641808,-0.36,,,,,0.1175,0.2723202771,,0.6079119518,0.7796870858
2RA0,i -> k,-0.008147574464,0.2230934125,-2.95,,,,,-1.7025,0.06291528696,,8.654495694,2.941852426
2RA0,h -> c,-1.069124924,1.775507515,0.41,,,,,0.69,0.7,,2.187810542,1.479124924
2RA0,h -> k,0.4329533775,0.1110275797,0.11,,,,,2.865,0.261629509,,0.1042988841,0.3229533775
2RA0,c -> e,1.32,0.47,1.73,,,,,,,,0.1681,0.41
2RA0,d -> e,-2.54,0.69,-1.63,,,,,,,,0.8281,0.91
2RA0,d -> g,-2.987,0.39,-3.72,,,,,,,,0.537289,0.733
TYK2,ejm_31,0,0.00,0,0,,0,0,,,,0,0
TYK2,ejm_42,0.5275458803,0.55,0.24,-1.1296733,,-0.12,0.5,,,,0.08268263331,0.2875458803
TYK2,ejm_43,-2.875996294,1.84,-1.28,-3.14285,,-1.64,0.47,,,,2.547204169,1.595996294
TYK2,ejm_44,,,-2.12,-5.55,,-2.81,0.86,,,,4.4944,2.12
TYK2,ejm_45,0.3666286572,0.56,0.02,-0.85562,,-0.2,0.76,,,,0.120151426,0.3466286572
TYK2,ejm_46,-0.4501301313,0.68,1.77,-0.68832,,0.81,0.24,,,,4.9289778,2.220130131
TYK2,ejm_47,-0.1357559728,0.19,0.16,-2.82976,,-0.57,0.76,,,,0.08747159546,0.2957559728
TYK2,ejm_48,-1.251683897,0.09,-0.54,-1.41727,,-1.18,0.72,,,,0.5064939687,0.7116838966
TYK2,ejm_49,-1.615211736,0.60,-1.79,-2.64812,,-1.01,0.29,,,,0.03055093727,0.1747882641
TYK2,ejm_50,1.3878012,0.33,-0.56,-1.03726,,-0.3,0.41,,,,3.793929514,1.9478012
TYK2,ejm_54,-1.691677576,0.26,0.99,1.6403,,0.92,0.6,,,,7.19139462,2.681677576
TYK2,ejm_55,0.4887355165,,-0.33,-1.8199,,0.79,0.42,,,,0.670327846,0.8187355165
TYK2,jmc_23,0.0001124108066,,2.16,-1.17827,,1.47,0.34,,,,4.665114398,2.159887589
TYK2,jmc_28,-1.732271676,,1.44,-1.90961,,0.48,0.24,,,,10.06330759,3.172271676
TYK2,jmc_30,-1.149234688,,1.4,-0.31,,0.96,0.3,,,,6.498597494,2.549234688
,,,,,,,,,,,,,
,,,,,,,,,,,,1.327555287,1.002933001
